Course Code,Department
22AG040-TECHNOLOGY OF SEED PROCESSING,AGRI
22AI043-PYTHON FOR DATA SCIENCE,AIDS
22AI043-PYTHON FOR DATA SCIENCE,AIDS
22AI002-UI AND UX DESIGN,AIDS
22AI002-UI AND UX DESIGN,AIDS
22AI043-PYTHON FOR DATA SCIENCE,AIDS
22AI043-PYTHON FOR DATA SCIENCE,AIDS
22AI002-UI AND UX DESIGN,AIDS
22AI002-UI AND UX DESIGN,AIDS
22AI002-UI AND UX DESIGN,AIDS
22AI043-PYTHON FOR DATA SCIENCE,AIDS
22AI002-UI AND UX DESIGN,AIDS
22AM002-UI AND UX DESIGN,AIML
22AM027-MOBILE AND WEB APPLICATION,AIML
22BT003-ENVIRONMENTAL BIOTECHNOLOGY,BT
22BT003-ENVIRONMENTAL BIOTECHNOLOGY,BT
22BT012-BIODIVERSITY AND AGROFORESTRY,BT
22BT012-BIODIVERSITY AND AGROFORESTRY,BT
22BT003-ENVIRONMENTAL BIOTECHNOLOGY,BT
22BT003-ENVIRONMENTAL BIOTECHNOLOGY,BT
22BT003-ENVIRONMENTAL BIOTECHNOLOGY,BT
22BT012-BIODIVERSITY AND AGROFORESTRY,BT
22BT003-ENVIRONMENTAL BIOTECHNOLOGY,BT
22BT003-ENVIRONMENTAL BIOTECHNOLOGY,BT
22BT012-BIODIVERSITY AND AGROFORESTRY,BT
22BT003-ENVIRONMENTAL BIOTECHNOLOGY,BT
22CB031-INTRODUCTION TO INNOVATION IP MANAGEMENT AND ENTREPRENEURSHIP,CSBS
22CB031-INTRODUCTION TO INNOVATION IP MANAGEMENT AND ENTREPRENEURSHIP,CSBS
22CB031-INTRODUCTION TO INNOVATION IP MANAGEMENT AND ENTREPRENEURSHIP,CSBS
22CB031-INTRODUCTION TO INNOVATION IP MANAGEMENT AND ENTREPRENEURSHIP,CSBS
22CB031-INTRODUCTION TO INNOVATION IP MANAGEMENT AND ENTREPRENEURSHIP,CSBS
22CB031-INTRODUCTION TO INNOVATION IP MANAGEMENT AND ENTREPRENEURSHIP,CSBS
